"","ifront","iback","power","lambda"
"1",12,70,-38.2999992370605,1579.09997558594
"2",13,70,-38.0999984741211,1579.09997558594
"3",15,70,-36.5,1579.09997558594
"4",19,70,-35.0999984741211,1579
"5",20,70,-35.0999984741211,1577.80004882812
"6",20,70,-35.0999984741211,1578.09997558594
"7",26,70,-34.2000007629395,1578
"8",30,70,-32.5999984741211,1578
"9",13,60,-40.9000015258789,1578.80004882812
"10",14,60,-39.7999992370605,1578.90002441406
"11",19,60,-37,1578.80004882812
"12",21,60,-36.0999984741211,1577.80004882812
"13",24,60,-35.4000015258789,1577.90002441406
"14",40,60,-35.4000015258789,1577.90002441406
"15",15,50,-45.7000007629395,1578.59997558594
"16",20,50,-40.4000015258789,1578.59997558594
"17",21,50,-37.4000015258789,1577.69995117188
"18",25,50,-36,1577.80004882812
"19",30,50,-34.0999984741211,1577.80004882812
"20",40,50,-31.2000007629395,1577.80004882812
"21",50,50,-29.5,1577.69995117188
"22",22,40,-40.2999992370605,1577.5
"23",24,40,-39.5,1577.59997558594
"24",31,40,-36.0999984741211,1577.59997558594
"25",48,40,-30.8999996185303,1577.59997558594
"26",55,40,-29.7000007629395,1577.59997558594
"27",56,40,-29.5,1577.59997558594
"28",57,40,-29.8999996185303,1575.69995117188
"29",57,40,-29.8999996185303,1577.19995117188
"30",60,40,-29.5,1575.69995117188
"31",60,40,-29.5,1577.19995117188
"32",27,30,-46.2000007629395,1577.40002441406
"33",32,30,-41,1577.40002441406
"34",37,30,-38.2000007629395,1577.30004882812
"35",41,30,-36.2000007629395,1577.30004882812
"36",46,30,-33.9000015258789,1577.30004882812
"37",47,30,-34.0999984741211,1575.40002441406
"38",49,30,-34.2999992370605,1575.5
"39",52,30,-35.0999984741211,1575.59997558594
"40",54,30,-35.5,1575.59997558594
"41",56,30,-36,1575.5
"42",59,30,-36.2000007629395,1575.5
"43",60,30,-35.5999984741211,1575.5
"44",60,30,-35.5999984741211,1577.09997558594
"45",61,30,-34.5,1575.5
"46",61,30,-34.5,1577.09997558594
"47",64,30,-33.5,1575.59997558594
"48",64,30,-33.5,1577.19995117188
"49",68,30,-31.7000007629395,1575.69995117188
"50",68,30,-31.7000007629395,1577.40002441406
"51",70,30,-31.1000003814697,1575.69995117188
"52",70,30,-31.1000003814697,1577.40002441406
"53",52,20,-44.5,1575.19995117188
"54",53,20,-42.5999984741211,1575.19995117188
"55",54,20,-38.5,1576.90002441406
"56",55,20,-36.5999984741211,1577
"57",56,20,-35.2000007629395,1577.09997558594
"58",58,20,-33.9000015258789,1577.19995117188
"59",64,20,-31.7999992370605,1577.30004882812
"60",67,20,-31,1577.40002441406
"61",70,20,-30,1577.5
"62",74,20,-29.7999992370605,1577.59997558594
"63",78,20,-29.3999996185303,1577.69995117188
"64",85,20,-28.7000007629395,1577.80004882812
