"","Climate","HousingCost","HlthCare","Crime","Transp","Educ","Arts","Recreat","Econ","CaseNum","Long","Lat","Pop","StNum"
"1",521,6200,237,923,4031,2757,996,1405,7633,1,-99.6890029907227,32.5589981079102,110932,44
"2",575,8138,1656,886,4883,2438,5564,2632,4350,2,-81.5179977416992,41.0849990844727,660328,36
"3",468,7339,618,970,2531,2560,237,859,5250,3,-84.1579971313477,31.5750007629395,112402,11
"4",476,7908,1431,610,6883,3399,4655,1617,5864,4,-73.7979965209961,42.7330017089844,835880,35
"5",659,8393,1853,1483,6558,3026,4496,2612,5727,5,-106.650001525879,35.0830001831055,419700,33
"6",520,5819,640,727,2444,2972,334,1018,5254,6,-92.4530029296875,31.3020000457764,135282,19
"7",559,8288,621,514,2881,3144,2333,1117,5097,7,-75.4400024414062,40.6160011291504,635481,39
"8",537,6487,965,706,4975,2945,1487,1280,5795,8,-90.161003112793,38.7939987182617,268229,15
"9",561,6191,432,399,4246,2778,256,1210,4230,9,-78.3949966430664,40.5149993896484,136621,39
"10",609,6546,669,1073,4902,2852,1235,1109,6241,10,-101.848999023438,35.382999420166,173699,44
"11",885,16047,2025,983,3954,2843,5632,3156,6220,11,-117.888999938965,33.7989997863770,1932709,5
"12",195,12175,601,1223,5091,2414,2346,3000,7668,12,-127.202003479004,48.8800010681152,174431,1
"13",530,5704,580,878,2865,2469,430,838,3370,13,-85.6849975585938,40.1669998168945,139336,16
"14",591,5725,820,975,2707,2772,169,613,4262,14,-82.6549987792969,34.5099983215332,133235,41
"15",546,11014,2508,1067,3433,3346,7559,2288,4579,15,-83.75,42.2830009460449,264748,23
"16",560,5530,598,1125,3051,2189,268,1165,4730,16,-85.8270034790039,33.6549987792969,119761,2
"17",396,7877,833,525,3298,2844,1166,2315,5275,17,-88.4670028686523,44.1580009460449,291369,49
"18",694,6722,1204,566,5086,2990,1391,1542,5196,18,-82.556999206543,35.5929985046387,160934,28
"19",601,6691,605,933,1866,2646,3546,1001,5193,19,-83.3830032348633,33.9570007324219,130015,11
"20",696,8316,3195,1308,8409,3057,7559,1362,6315,20,-84.3190002441406,33.7630004882812,2138231,11
"21",615,11074,637,1878,3556,2929,621,2711,8107,21,-74.438003540039,39.367000579834,276385,32
"22",534,6292,1798,872,2523,2915,1047,913,5431,22,-81.9670028686523,33.4700012207031,345918,11
"23",474,10384,1203,821,3943,2208,3857,1800,5097,23,-88.2809982299805,41.8940010070801,315607,15
"24",435,8831,782,1049,3670,3063,5355,1063,7439,24,-97.7419967651367,30.2819995880127,536688,44
"25",560,8068,420,1561,3725,2564,1222,1568,6056,25,-119.022003173828,35.375,403089,5
"26",567,9148,3562,1730,7405,3471,9788,2925,5503,26,-76.6169967651367,39.2879981994629,2199531,21
"27",451,7277,780,651,5613,2934,1995,2148,5172,27,-68.7720031738281,44.8019981384277,83919,22
"28",427,8083,342,1565,3329,2635,4237,1413,6308,28,-91.1849975585938,30.4500007629395,494151,19
"29",527,6342,900,1031,4652,2483,354,1648,4008,29,-85.181999206543,42.3219985961914,141557,23
"30",423,6288,616,1313,2782,2745,1795,1813,6019,30,-94.0120010375977,29.9909992218018,375497,44
"31",586,7866,861,310,2960,2535,1284,1480,3119,31,-80.3150024414062,40.693000793457,204441,39
"32",772,8329,240,825,3776,2778,1302,3200,4247,32,-122.483001708984,48.7630004882812,106701,48
"33",566,6761,570,1190,2989,2545,79,1477,3635,33,-86.4469985961914,42.1049995422363,171276,23
"34",559,14607,2661,857,3511,3653,9304,1918,6016,34,-74.0589981079102,40.890998840332,1292970,32
"35",452,8315,479,810,6285,3008,778,2046,5913,35,-108.504997253418,45.7799987792969,108035,27
"36",584,6458,441,810,2516,2592,679,2106,5801,36,-88.9690017700195,30.3969993591309,182202,26
"37",550,8257,1007,415,4529,3052,1599,1722,5614,37,-75.9130020141602,42.0979995727539,263460,35
"38",612,6811,1692,1123,5177,2851,3958,1234,4843,38,-86.806999206543,33.5120010375977,883946,2
"39",149,8365,804,413,4303,2686,1211,1630,6019,39,-100.777999877930,46.806999206543,79988,29
"40",558,7056,731,657,1746,2873,2152,1990,4829,40,-86.5279998779297,39.1650009155273,98785,16
"41",487,8654,815,673,5889,2854,1470,1605,5863,41,-88.9899978637695,40.4949989318848,119149,15
"42",592,8221,453,880,6575,2391,2385,1672,4633,42,-116.218002319336,43.6129989624023,173036,14
"43",623,11609,5301,1215,6801,3479,21042,3066,6363,43,-71.0579986572266,42.3619995117188,2805911,20
"44",459,11914,962,1088,7108,2587,3663,4012,7127,44,-105.193000793457,40.0909996032715,189625,6
"45",440,8242,333,1093,3805,2712,154,1349,7437,45,-82.5719985961914,27.4950008392334,148442,10
"46",423,8394,438,768,2391,2718,1506,1512,6020,46,-95.5699996948242,29.0429992675781,169587,44
"47",808,9060,310,651,1670,2544,382,1973,5671,47,-122.629997253418,47.5670013427734,147152,48
"48",648,13429,2550,943,3197,3029,8368,1913,7197,48,-73.1269989013672,41.2080001831055,438557,7
"49",516,10041,975,545,4495,2628,514,777,6527,49,-72.9499969482422,41.6730003356934,73762,7
"50",575,8263,916,1336,3810,2729,2001,1217,6900,50,-71.0169982910156,42.0849990844727,182891,20
"51",440,5376,91,974,3119,2413,162,3000,4968,51,-97.4820022583008,25.9190006256104,209727,44
"52",383,8228,640,1016,2530,2973,2002,1413,8040,52,-96.3570022583008,30.6439990997314,93588,44
"53",571,8064,2465,971,5384,3121,8567,2441,5047,53,-78.875,42.8870010375977,1015472,35
"54",637,6179,994,707,1910,2519,131,701,5680,54,-79.4329986572266,36.0970001220703,99319,28
"55",383,9673,1809,494,7146,3323,1741,3357,6726,55,-73.2070007324219,44.4749984741211,115308,47
"56",575,7332,443,650,4279,2754,989,1157,4847,56,-81.3779983520508,40.7980003356934,404421,36
"57",401,9839,345,989,4410,2453,303,1435,6303,57,-106.313003540039,42.8470001220703,71856,51
"58",434,7774,837,714,5270,2619,904,1501,5009,58,-91.6729965209961,41.9749984741211,169775,13
"59",525,8627,672,1022,7447,3147,2203,1700,5485,59,-88.197998046875,40.181999206543,168392,15
"60",569,7402,1463,1495,4207,3164,2993,2561,5153,60,-79.9300003051758,32.7630004882812,430462,41
"61",627,7789,708,721,5470,2894,2605,844,5257,61,-81.6449966430664,38.3680000305176,269595,50
"62",644,7169,999,1273,6099,3031,4313,1236,5671,62,-81.0169982910156,35.1370010375977,971391,28
"63",618,9531,1348,756,6041,3489,1422,1704,6055,63,-78.5070037841797,38.0379981994629,113568,46
"64",576,6189,564,946,3401,2415,2483,1238,4487,64,-85.3099975585938,35.0429992675781,426540,43
"65",514,10913,5766,1034,7742,3486,24846,2856,5205,65,-87.625,41.882999420166,6060387,15
"66",603,8587,243,947,4067,3126,1647,1543,5307,66,-121.837997436523,39.7319984436035,143851,5
"67",584,8143,2138,978,5748,2918,9688,2451,5270,67,-84.5130004882812,39.0999984741211,1401491,36
"68",544,6007,446,736,2226,2654,111,2219,4880,68,-87.4179992675781,36.6940002441406,150220,43
"69",579,9168,3167,1138,7333,2972,12679,3300,4879,69,-81.6999969482422,41.4970016479492,1898825,36
"70",526,8509,721,1086,3389,2754,1749,2375,7699,70,-104.819999694824,38.8330001831055,309424,6
"71",541,7702,1951,1065,3893,2377,2882,1331,5147,71,-92.3300018310547,38.9570007324219,100376,25
"72",526,7519,1421,1524,5859,2908,2489,1484,5279,72,-81.0449981689453,33.9930000305176,410088,41
"73",517,5817,833,820,2995,2665,1861,1214,4812,73,-84.9820022583008,32.4620018005371,239196,11
"74",558,8093,1837,1092,4364,2928,6648,2020,5165,74,-83.0019989013672,39.9620018005371,1243833,36
"75",362,6929,458,1335,3626,2840,1992,2037,6690,75,-97.6210021972656,27.7759990692139,326228,44
"76",591,6054,760,337,3709,3363,373,1036,4741,76,-78.7630004882812,39.6500015258789,107782,21
"77",544,9318,2825,1529,6213,3269,10438,2310,7710,77,-96.811996459961,32.7770004272461,1957378,44
"78",569,14420,2350,548,2715,3029,7415,1572,7060,78,-73.4599990844727,41.3930015563965,170369,7
"79",545,5709,593,379,3161,2943,85,501,4491,79,-79.3880004882812,36.5919990539551,111789,46
"80",440,8083,1113,834,3907,2901,1017,1920,4997,80,-90.5490036010742,41.5060005187988,383958,15
"81",544,7635,2253,1151,4775,2772,6935,1122,4532,81,-84.0029983520508,39.8390007019043,942083,36
"82",561,7203,723,1347,4117,2612,809,3967,6592,82,-81.0230026245117,29.2150001525879,258762,10
"83",480,7395,732,897,3867,2683,298,1222,4274,83,-88.9530029296875,39.8429985046387,131375,15
"84",521,10789,2533,1365,8145,3145,8477,2324,7164,84,-104.987998962402,39.7400016784668,1428836,6
"85",444,8028,1256,1044,5521,2613,1857,1802,5346,85,-93.6179962158203,41.5870018005371,367561,13
"86",536,8525,4142,1587,4808,3064,10389,2483,3904,86,-83.1279983520508,42.4420013427734,4488072,23
"87",336,5708,593,930,2232,2230,117,714,5453,87,-85.3929977416992,31.2229995727539,122453,2
"88",419,7993,640,571,3668,2701,340,1587,3949,88,-90.6750030517578,42.5029983520508,93745,13
