"","STATE","SAT","EXPEND","PERPUPIL","ENROLL","TEACHERS","RATIO","SALARY","ATTEND","COMPUTER"
"1",1,1022,2188020,3197,724751,38845,18.7000007629395,25190,684453,28353
"2",2,923,739020,7716,106481,6272,17,41754,95776,8806
"3",3,853,2143148,3902,574890,31617,18.2000007629395,28499,549219,31676
"4",4,986,1319370,3272,436387,27730,15.6999998092651,21395,403106,17734
"5",5,906,19370242,4121,4618120,203342,22.7000007629395,34684,4699865,186468
"6",6,966,2266667,4408,560081,31398,17.7999992370605,29558,514232,32212
"7",7,908,2984542,6857,460637,35502,13,37343,435227,21188
"8",8,903,479327,5422,96678,5898,16.3999996185303,31585,88397,3328
"9",9,846,584035,7850,84792,5936,14.3000001907349,36290,74398,3695
"10",10,887,7245515,4563,1720930,100370,17.1000003814697,26974,1587882,86267
"11",11,847,4006069,3852,1107994,59916,18.5,26920,1039977,45715
"12",12,888,643319,4121,167488,8737,19.2000007629395,30778,156114,4621
"13",13,965,571159,2838,214615,10425,20.6000003814697,22734,201219,8442
"14",14,982,7655153,4906,1794916,105097,17.1000003814697,31145,1560461,66679
"15",15,871,3779468,4284,960994,54029,17.7999992370605,29331,882175,45439
"16",16,1084,1925623,4285,478200,30327,15.8000001907349,25778,449418,25340
"17",17,1040,1712260,4443,426596,28122,15.1999998092651,27360,385364,21653
"18",18,996,1918741,3347,637627,35788,17.7999992370605,24930,573221,27125
"19",19,986,2468307,3317,786683,43203,18.2000007629395,22470,744142,27301
"20",20,987,921931,4744,212902,14593,14.6000003814697,24938,194350,9126
"21",21,914,3505018,5758,688947,40899,16.7999992370605,33895,608699,33574
"22",22,905,4522119,5979,823428,60068,13.6999998092651,32221,756285,40731
"23",23,972,7493266,5116,1582785,79847,19.7999992370605,34823,1464766,69821
"24",24,1066,3282296,4755,726950,42750,17,30660,690266,59184
"25",25,988,1372290,2874,503326,27283,18.3999996185303,22578,477439,10890
"26",26,989,3096666,4263,806639,50693,15.8999996185303,26006,726451,35121
"27",27,992,592454,4293,152191,9626,15.8000001907349,24421,138016,9004
"28",28,1030,1105009,4360,269434,18003,15,23845,253426,12785
"29",29,926,615161,3791,176474,8699,20.2999992370605,28840,162256,8446
"30",30,932,733230,4807,169413,10442,16.2000007629395,26702,152536,4484
"31",31,894,7309147,7549,1080871,79698,13.6000003814697,33037,968176,52330
"32",32,1015,975552,3437,292425,15770,18.5,23897,280921,19192
"33",33,890,17127584,7663,2573715,172807,14.8999996185303,36654,2234976,139032
"34",34,836,3892971,3874,1083156,61933,17.5,25738,1004837,64245
"35",35,1067,431814,3952,118809,7731,15.3999996185303,22249,109271,5537
"36",36,948,7425194,4649,1778544,101021,17.6000003814697,29671,1597117,72839
"37",37,1001,1822743,3379,580426,35116,16.5,22370,542693,25762
"38",38,927,2123241,5182,461752,25147,18.3999996185303,29390,409717,23961
"39",39,886,8597355,5609,1659714,104379,15.8999996185303,31248,1532806,6994
"40",40,895,736942,5976,133585,9216,14.5,34233,123321,4903
"41",41,838,2118732,3736,615774,35877,17.2000007629395,25623,567133,30784
"42",42,1041,427522,3581,126910,8260,15.3999996185303,20530,119400,9378
"43",43,1009,2668341,3491,821580,42657,19.2999992370605,25619,764354,29817
"44",44,877,11761447,3877,3283707,196616,16.7000007629395,26527,3033684,152835
"45",45,1036,1040104,2579,43119,17602,24.5,22852,403294,18776
"46",46,905,485226,5481,93381,6852,13.6000003814697,27092,88532,3147
"47",47,902,4151050,4539,982393,60883,16.1000003814697,28967,914445,52214
"48",48,939,3204265,4352,790918,38780,20.3999996185303,29199,736345,41840
"49",49,939,1202486,3883,335912,22177,15.1000003814697,21904,309691,17170
"50",50,1013,3688311,5266,774857,48541,16,30779,700389,39970
"51",51,978,491930,5375,97793,6693,14.6000003814697,27685,91515,7566
