"","BodyWgt","BrainWgt","NonD","Dream","Sleep","Span","Gest","Pred","Exp","Danger"
"1",6654,5712,NA,NA,3.29999995231628,38.5999984741211,645,3,5,3
"2",1,6.59999990463257,6.30000019073486,2,8.30000019073486,4.5,42,3,1,3
"3",3.38499999046326,44.5,NA,NA,12.5,14,60,1,1,1
"4",0.9200000166893,5.69999980926514,NA,NA,16.5,NA,25,5,2,3
"5",2547,4603,2.09999990463257,1.79999995231628,3.90000009536743,69,624,3,5,4
"6",10.5500001907349,179.5,9.10000038146973,0.699999988079071,9.80000019073486,27,180,4,4,4
"7",0.0230000000447035,0.300000011920929,15.8000001907349,3.90000009536743,19.7000007629395,19,35,1,1,1
"8",160,169,5.19999980926514,1,6.19999980926514,30.3999996185303,392,4,5,4
"9",3.29999995231628,25.6000003814697,10.8999996185303,3.59999990463257,14.5,28,63,1,2,1
"10",52.1599998474121,440,8.30000019073486,1.39999997615814,9.69999980926514,50,230,1,1,1
"11",0.425000011920929,6.40000009536743,11,1.5,12.5,7,112,5,4,4
"12",465,423,3.20000004768372,0.699999988079071,3.90000009536743,30,281,5,5,5
"13",0.550000011920929,2.40000009536743,7.59999990463257,2.70000004768372,10.3000001907349,NA,NA,2,1,2
"14",187.100006103516,419,NA,NA,3.09999990463257,40,365,5,5,5
"15",0.0750000029802322,1.20000004768372,6.30000019073486,2.09999990463257,8.39999961853027,3.5,42,1,1,1
"16",3,25,8.60000038146973,0,8.60000038146973,50,28,2,2,2
"17",0.785000026226044,3.5,6.59999990463257,4.09999990463257,10.6999998092651,6,42,2,2,2
"18",0.200000002980232,5,9.5,1.20000004768372,10.6999998092651,10.3999996185303,120,2,2,2
"19",1.4099999666214,17.5,4.80000019073486,1.29999995231628,6.09999990463257,34,NA,1,2,1
"20",60,81,12,6.09999990463257,18.1000003814697,7,NA,1,1,1
"21",529,680,NA,0.300000011920929,NA,28,400,5,5,5
"22",27.6599998474121,115,3.29999995231628,0.5,3.79999995231628,20,148,5,5,5
"23",0.119999997317791,1,11,3.40000009536743,14.3999996185303,3.90000009536743,16,3,1,2
"24",207,406,NA,NA,12,39.2999992370605,252,1,4,1
"25",85,325,4.69999980926514,1.5,6.19999980926514,41,310,1,3,1
"26",36.3300018310547,119.5,NA,NA,13,16.2000007629395,63,1,1,1
"27",0.101000003516674,4,10.3999996185303,3.40000009536743,13.8000001907349,9,28,5,1,3
"28",1.03999996185303,5.5,7.40000009536743,0.800000011920929,8.19999980926514,7.59999990463257,68,5,3,4
"29",521,655,2.09999990463257,0.800000011920929,2.90000009536743,46,336,5,5,5
"30",100,157,NA,NA,10.8000001907349,22.3999996185303,100,1,1,1
"31",35,56,NA,NA,NA,16.2999992370605,33,3,5,4
"32",0.00499999988824129,0.140000000596046,7.69999980926514,1.39999997615814,9.10000038146973,2.59999990463257,21.5,5,2,4
"33",0.00999999977648258,0.25,17.8999996185303,2,19.8999996185303,24,50,1,1,1
"34",62,1320,6.09999990463257,1.89999997615814,8,100,267,1,1,1
"35",0.122000001370907,3,8.19999980926514,2.40000009536743,10.6000003814697,NA,30,2,1,1
"36",1.35000002384186,8.10000038146973,8.39999961853027,2.79999995231628,11.1999998092651,NA,45,3,1,3
"37",0.0230000000447035,0.400000005960464,11.8999996185303,1.29999995231628,13.1999998092651,3.20000004768372,19,4,1,3
"38",0.0480000004172325,0.330000013113022,10.8000001907349,2,12.8000001907349,2,30,4,1,3
"39",1.70000004768372,6.30000019073486,13.8000001907349,5.59999990463257,19.3999996185303,5,12,2,1,1
"40",3.5,10.8000001907349,14.3000001907349,3.09999990463257,17.3999996185303,6.5,120,2,1,1
"41",250,490,NA,1,NA,23.6000003814697,440,5,5,5
"42",0.479999989271164,15.5,15.1999998092651,1.79999995231628,17,12,140,2,2,2
"43",10,115,10,0.899999976158142,10.8999996185303,20.2000007629395,170,4,4,4
