"","OBS","TOTBILL","TIP","SEX","SMOKER","DAY","TIME","SIZE"
"1",1,16.9899997711182,1.00999999046326,"F","no","sun ","dinner ","2 "
"2",2,10.3400001525879,1.6599999666214,"M","no","sun ","dinner ","3 "
"3",3,21.0100002288818,3.5,"M","no","sun ","dinner ","3 "
"4",4,23.6800003051758,3.30999994277954,"M","no","sun ","dinner ","2 "
"5",5,24.5900001525879,3.60999989509583,"F","no","sun ","dinner ","4 "
"6",6,25.2900009155273,4.71000003814697,"M","no","sun ","dinner ","4 "
"7",7,8.77000045776367,2,"M","no","sun ","dinner ","2 "
"8",8,26.8799991607666,3.11999988555908,"M","no","sun ","dinner ","4 "
"9",9,15.0399999618530,1.96000003814697,"M","no","sun ","dinner ","2 "
"10",10,14.7799997329712,3.23000001907349,"M","no","sun ","dinner ","2 "
"11",11,10.2700004577637,1.71000003814697,"M","no","sun ","dinner ","2 "
"12",12,35.2599983215332,5,"F","no","sun ","dinner ","4 "
"13",13,15.4200000762939,1.57000005245209,"M","no","sun ","dinner ","2 "
"14",14,18.4300003051758,3,"M","no","sun ","dinner ","4 "
"15",15,14.8299999237061,3.01999998092651,"F","no","sun ","dinner ","2 "
"16",16,21.5799999237061,3.92000007629395,"M","no","sun ","dinner ","2 "
"17",17,10.3299999237061,1.66999995708466,"F","no","sun ","dinner ","3 "
"18",18,16.2900009155273,3.71000003814697,"M","no","sun ","dinner ","3 "
"19",19,16.9699993133545,3.5,"F","no","sun ","dinner ","3 "
"20",20,20.6499996185303,3.34999990463257,"M","no","sat ","dinner ","3 "
"21",21,17.9200000762939,4.07999992370605,"M","no","sat ","dinner ","2 "
"22",22,20.2900009155273,2.75,"F","no","sat ","dinner ","2 "
"23",23,15.7700004577637,2.23000001907349,"F","no","sat ","dinner ","2 "
"24",24,39.4199981689453,7.57999992370605,"M","no","sat ","dinner ","4 "
"25",25,19.8199996948242,3.1800000667572,"M","no","sat ","dinner ","2 "
"26",26,17.8099994659424,2.33999991416931,"M","no","sat ","dinner ","4 "
"27",27,13.3699998855591,2,"M","no","sat ","dinner ","2 "
"28",28,12.6899995803833,2,"M","no","sat ","dinner ","2 "
"29",29,21.7000007629395,4.30000019073486,"M","no","sat ","dinner ","2 "
"30",30,19.6499996185303,3,"F","no","sat ","dinner ","2 "
"31",31,9.55000019073486,1.45000004768372,"M","no","sat ","dinner ","2 "
"32",32,18.3500003814697,2.5,"M","no","sat ","dinner ","4 "
"33",33,15.0600004196167,3,"F","no","sat ","dinner ","2 "
"34",34,20.6900005340576,2.45000004768372,"F","no","sat ","dinner ","4 "
"35",35,17.7800006866455,3.26999998092651,"M","no","sat ","dinner ","2 "
