"lat","long","depth","mag","stations","letters"
-20.42,181.62,562,4.8, 41,"a"
-20.62,181.03,650,4.2, 15,"b"
-26.00,184.10, 42,5.4, 43,"c"
-17.97,181.66,626,4.1, 19,"d"
-20.42,181.96,649,4.0, 11,"e"
-19.68,184.31,195,4.0, 12,"f"
-11.70,166.10, 82,4.8, 43,"g"
-28.11,181.93,194,4.4, 15,"h"
-28.74,181.74,211,4.7, 35,"i"
-17.47,179.59,622,4.3, 19,"j"
-21.44,180.69,583,4.4, 13,"k"
-12.26,167.00,249,4.6, 16,"l"
-18.54,182.11,554,4.4, 19,"m"
-21.00,181.66,600,4.4, 10,"n"
-20.70,169.92,139,6.1, 94,"o"
-15.94,184.95,306,4.3, 11,"p"
-13.64,165.96, 50,6.0, 83,"q"
-17.83,181.50,590,4.5, 21,"r"
-23.50,179.78,570,4.4, 13,"s"
-22.63,180.31,598,4.4, 18,"t"
-20.84,181.16,576,4.5, 17,"u"
-10.98,166.32,211,4.2, 12,"v"
-23.30,180.16,512,4.4, 18,"w"
-30.20,182.00,125,4.7, 22,"x"
-19.66,180.28,431,5.4, 57,"y"
-17.94,181.49,537,4.0, 15,"z"
-14.72,167.51,155,4.6, 18,"a"
-16.46,180.79,498,5.2, 79,"b"
-20.97,181.47,582,4.5, 25,"c"
-19.84,182.37,328,4.4, 17,"d"
-22.58,179.24,553,4.6, 21,"e"
-16.32,166.74, 50,4.7, 30,"f"
-15.55,185.05,292,4.8, 42,"g"
-23.55,180.80,349,4.0, 10,"h"
-16.30,186.00, 48,4.5, 10,"i"
-25.82,179.33,600,4.3, 13,"j"
-18.73,169.23,206,4.5, 17,"k"
-17.64,181.28,574,4.6, 17,"l"
-17.66,181.40,585,4.1, 17,"m"
-18.82,169.33,230,4.4, 11,"n"
-37.37,176.78,263,4.7, 34,"o"
-15.31,186.10, 96,4.6, 32,"p"
-24.97,179.82,511,4.4, 23,"q"
-15.49,186.04, 94,4.3, 26,"r"
-19.23,169.41,246,4.6, 27,"s"
-30.10,182.30, 56,4.9, 34,"t"
-26.40,181.70,329,4.5, 24,"u"
-11.77,166.32, 70,4.4, 18,"v"
-24.12,180.08,493,4.3, 21,"w"
-18.97,185.25,129,5.1, 73,"x"
-18.75,182.35,554,4.2, 13,"y"
-19.26,184.42,223,4.0, 15,"z"
-22.75,173.20, 46,4.6, 26,"a"
-21.37,180.67,593,4.3, 13,"b"
-20.10,182.16,489,4.2, 16,"c"
-19.85,182.13,562,4.4, 31,"d"
-22.70,181.00,445,4.5, 17,"e"
-22.06,180.60,584,4.0, 11,"f"
-17.80,181.35,535,4.4, 23,"g"
-24.20,179.20,530,4.3, 12,"h"
-20.69,181.55,582,4.7, 35,"i"
-21.16,182.40,260,4.1, 12,"j"
-13.82,172.38,613,5.0, 61,"k"
-11.49,166.22, 84,4.6, 32,"l"
-20.68,181.41,593,4.9, 40,"m"
-17.10,184.93,286,4.7, 25,"n"
-20.14,181.60,587,4.1, 13,"o"
-21.96,179.62,627,5.0, 45,"p"
-20.42,181.86,530,4.5, 27,"q"
-15.46,187.81, 40,5.5, 91,"r"
-15.31,185.80,152,4.0, 11,"s"
-19.86,184.35,201,4.5, 30,"t"
-11.55,166.20, 96,4.3, 14,"u"
-23.74,179.99,506,5.2, 75,"v"
-17.70,181.23,546,4.4, 35,"w"
-23.54,180.04,564,4.3, 15,"x"
-19.21,184.70,197,4.1, 11,"y"
-12.11,167.06,265,4.5, 23,"z"
-21.81,181.71,323,4.2, 15,"a"
-28.98,181.11,304,5.3, 60,"b"
-34.02,180.21, 75,5.2, 65,"c"
-23.84,180.99,367,4.5, 27,"d"
-19.57,182.38,579,4.6, 38,"e"
-20.12,183.40,284,4.3, 15,"f"
-17.70,181.70,450,4.0, 11,"g"
-19.66,184.31,170,4.3, 15,"h"
-21.50,170.50,117,4.7, 32,"i"
-23.64,179.96,538,4.5, 26,"j"
-15.43,186.30,123,4.2, 16,"k"
-15.41,186.44, 69,4.3, 42,"l"
-15.48,167.53,128,5.1, 61,"m"
-13.36,167.06,236,4.7, 22,"n"
-20.64,182.02,497,5.2, 64,"o"
-19.72,169.71,271,4.2, 14,"p"
-15.44,185.26,224,4.2, 21,"q"
-19.73,182.40,375,4.0, 18,"r"
-27.24,181.11,365,4.5, 21,"s"
-18.16,183.41,306,5.2, 54,"t"
-13.66,166.54, 50,5.1, 45,"u"
-24.57,179.92,484,4.7, 33,"v"
-16.98,185.61,108,4.1, 12,"w"
-26.20,178.41,583,4.6, 25,"x"
-21.88,180.39,608,4.7, 30,"y"
-33.00,181.60, 72,4.7, 22,"z"
-21.33,180.69,636,4.6, 29,"a"
-19.44,183.50,293,4.2, 15,"b"
-34.89,180.60, 42,4.4, 25,"c"
-20.24,169.49,100,4.6, 22,"d"
-22.55,185.90, 42,5.7, 76,"e"
-36.95,177.81,146,5.0, 35,"f"
-15.75,185.23,280,4.5, 28,"g"
-16.85,182.31,388,4.2, 14,"h"
-19.06,182.45,477,4.0, 16,"i"
-26.11,178.30,617,4.8, 39,"j"
-26.20,178.35,606,4.4, 21,"k"
-26.13,178.31,609,4.2, 25,"l"
-13.66,172.23, 46,5.3, 67,"m"
-13.47,172.29, 64,4.7, 14,"n"
-14.60,167.40,178,4.8, 52,"o"
-18.96,169.48,248,4.2, 13,"p"
-14.65,166.97, 82,4.8, 28,"q"
-19.90,178.90, 81,4.3, 11,"r"
-22.05,180.40,606,4.7, 27,"s"
-19.22,182.43,571,4.5, 23,"t"
-31.24,180.60,328,4.4, 18,"u"
